"Уч.ц. 1",Уч.ц. 2,,,,,,,,,,,,,,,,,,,,,,,,
"День недели",Время | Группа,ГНГ-18-1,ГНГ-18-2,МГП-18,РГГ-18,РГИ-18,РМ-18,РФ-18,НГД-18-1,НГД-18-10,НГД-18-2,НГД-18-3,НГД-18-12,НГД-18-4,НГД-18-6,НГД-18-7,НГД-18-5,НГД-18-8,НГД-18-9,НГД-18-11,НГС-18-1,НГС-18-2,РТ-18,ТНГ-18-1,ТНГ-18-2
"П
О
Н
Е
Д
Е
Л
Ь
Н
И
К",8.50-10.20,,"1/2 Физика
Доц.Томаев В.В.
л/р No235,236,717","1/2 Общая геология
Асс. Илалова Р.К. л/р No550","_  _  _  _  _  _  _  _  _  _  _  _ _  _  _  _  _  ____
II Математика
Доц. Зацепин М.А. No518","_____________________
II Математика
Доц. Зацепин М.А. No518","_____________________
II История
Доц. Волошинова И.В. пр. No603","Русский язык и культура речи
Проф. Щукина Д.А. No610","История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. пр. No611","Информатика
Доц. Быкова О.Г. No333","Информатика
Асс. Цветков П.С. л/р No316
Асс. Кочнева А.А. л/р No315",,,"Физика
Доц. Кузьмин Ю.И. No820","Физика
Проф. Сухомлинов В.С. No326","Физика
Проф. Сухомлинов В.С. No326","Физика
Доц. Кузьмин Ю.И. No820","Информатика
Доц. Быкова О.Г. No333","Информатика
Доц. Быкова О.Г. No333","Информатика
Доц. Быкова О.Г. No333","Философия
Доц. Рахманинова М.Д. No832","Философия
Доц. Рахманинова М.Д. No832","I  Математика
Доц. Гончар Л.И. пр. No513
_____________________","Философия
Доц. Рахманинова М.Д. No832","Философия
Доц. Рахманинова М.Д. No832"
"",10.35-12.05,"Химия элементов и их соединений
Доц. Згонник П.В. No832","Химия элементов и их соединений
Доц. Згонник П.В. No832","Химия элементов и их соединений
Доц. Згонник П.В. No832","Математика
Доц. Зацепин М.А. пр. No523","1/2 Информатика
Доц. Пивоварова И.И. л/р No345
1/2 Общая геология
Асс. Илалова Р.К. л/р No550","Химия элементов и их соединений
Доц. Згонник П.В. No832","Математика
Доц. Гончар Л.И. No620","Иностранный язык
Доц. Герасимова И.Г. пр. No838
Доц. Гончарова М.В. пр. No228
(немецкий язык)","Иностранный язык
С   т  . п  р  .  Щ   е  т  и нина А.Т. пр. No821","Математика
Доц. Попков Р.А. No536","Математика
Доц. Попков Р.А. No536","Математика
Доц. Попков Р.А. No536","Информатика
Асс. Сарапулова Т.В. л/р No316
Асс. Кочнева А.А. л/р No315","Иностранный язык
Доц.Радюшкина А.А. пр. No312,
Ст.пр.Корниенко Н.В.    No413","Иностранный язык
Ст.пр. Спиридонова В.А.
пр. No904
Доц. Навицкайте Э.А.No834","Иностранный язык
Доц. Гоман Ю.В. пр. No325
Преп. Токарева О.В.  No414","Иностранный язык
Преп. Гагарина О.Ю. пр. No905
Доц. Глазун М.А. пр. No303","Иностранный язык
Ст.пр. Мурзо Ю.Е. пр. No830
Доц. Чувилева Н.В. пр. No822","Иностранный язык
Ст.пр. Мурзо Ю.Е. пр. No830
Доц. Чувилева Н.В. пр. No822","Иностранный язык
Доц. Пец Ю.В. пр. No803
Доц. Померанец И.Б. пр.No831","Иностранный язык
Доц. Пец Ю.В. пр. No803
Доц. Померанец И.Б. пр.No831","Математика
Доц. Гончар Л.И. No620","Иностранный язык
Преп.Ферман Е.К. пр. No1005
Преп. Никифоровская Е.О.
пр. No1004","Иностранный язык
Преп.Ферман Е.К. пр. No1005
П  реп. Никифоровская Е.О.
пр. No1004"
"",12.35-14.05,"Иностранный язык
Доц. Зибров Д.А. пр. No821
Преп. Никифоровская Е.О. пр.
No812","Иностранный язык
Доц. Зибров Д.А. пр. No821
Преп. Никифоровская Е.О. пр.
No812","Иностранный язык
Доц. Крючкова Ю.В. пр. No903
Доц. Глазун М.А. пр. No838","Иностранный язык
Преп. Ферман Е.К. пр. No904
Ст.пр. Михайлова М.С. No211
(немецкий язык)","Иностранный язык
П   р  е  п  .  Т  о   к а  р  е  в  а   О   . В   .  п  р. No831","Иностранный язык
Доц. Чувилева Н.В. пр. No822
Доц. Пец Ю.В. пр. No803","Иностранный язык
Доц. Облова И.С. пр. No814
Доц. Свешникова С.А. пр. No813","Физическая культура
( 3.09 - 17.09 )
Элективные дисциплины по
физической культуре и спорту
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -  1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","И  н  о  с  т  р  а  н  н  ы   й    я  з ы   к
П   р  е  п  .   Г  а гарина О.Ю. пр. No905
Д   о  ц  .  Н  а  в  и   ц  к а  й  т  е    Э  . А   .   No    8  3  4","И  н  о  с  т  р  а  н  н  ы   й    я  з ы   к
Ст.пр. Мурзо Ю.Е. пр. No830
Д  о  ц  .  Н   а  в  и  цкайте Э.А.No834","Иностранный язык
Ст.пр. Корниенко Н.В. пр.
I- No528
II- No312","Иностранный язык
Доц. Померанец И.Б. пр. No1004
Ст.пр. Щетинина А.Т.пр.No414","Физическая культура
( 3.09 - 17.09 )
Элективные дисциплины по
физической культуре и спорту
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -  1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Иностранный язык
Доц. Гоман Ю.В. пр. No1005
Доц. Гончарова М.В. пр. No228
(немецкий язык)","Физическая культура
(   3  . 0  9   -   1  7  . 0  9   )
Элективные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   культуре и спорту
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -  1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )"
"",14.15-15.45,"Физическая культура
( 3.09 - 17.09 )
Элективные дисциплины по
физической культуре и спорту
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -  1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
